event_type,product_id,category_id,brand,price,user_id,main_category,sub_category,year,month,day,weekday
2,6.432582433467046e-05,2.782358876629587e-08,1520,13.782960494755834,0.9803270968945139,7,97,2019,10,25,4
2,0.1965715310004319,3.310047347326872e-08,858,8.48940516172953,0.8822671873226984,7,97,2019,10,9,2
2,0.07008383178012309,9.388745780825047e-09,1520,5.436910887627275,0.9408975544777405,7,97,2019,10,2,2
2,6.282152655591455e-05,2.782358876629587e-08,1230,25.22518582686756,0.9603378640329026,7,97,2019,10,13,6
2,0.046153702035807216,1.1239083974601272e-07,1230,8.001249902359005,0.9629780040416214,2,42,2019,10,15,1
2,6.661645958868159e-05,2.782358876629587e-08,1230,19.70101520226813,0.9641798116634142,7,97,2019,10,4,4
2,0.005237486225418749,5.4687738781922235e-08,819,16.035897230900428,0.9886412902781809,4,74,2019,10,25,4
2,0.12819259852671813,2.7412383474256785e-10,1230,14.639330585788407,0.9383573045752709,7,97,2019,10,2,2
2,7.277040504721777e-05,2.782358876629587e-08,1031,21.52463704688188,0.9979824353721423,7,97,2019,10,30,2
2,0.4737524824332208,1.1074609673755731e-07,1230,6.192737682156414,0.8225576750952599,1,86,2019,10,1,1
2,5.9060782109029986e-05,2.782358876629587e-08,1230,16.035897230900428,0.9372192810800561,7,97,2019,10,14,0
2,0.11622495241632619,3.508787216333076e-08,1230,5.045790324617146,0.8363804150496774,7,97,2019,10,16,2
2,0.3111012765744459,3.2483693956919524e-08,1334,24.59491817428958,0.9325224039832212,5,109,2019,10,19,5
2,6.629166802281372e-05,2.782358876629587e-08,1230,11.485643212288982,0.8228623575465943,7,97,2019,10,5,5
2,0.09913419799457962,2.1313141473910946e-08,1161,11.114405067298923,0.8343606154164458,2,60,2019,10,23,2
2,5.5231660490383944e-05,2.782358876629587e-08,1230,9.423375191511797,0.9862324899551642,7,97,2019,10,20,6
2,0.08545481486060219,7.010721247979745e-08,1324,11.82243629714282,0.822777989419631,3,0,2019,10,17,3
2,0.3709351309874129,3.2209570122176956e-08,1230,17.501714201757494,0.9159824994822072,7,97,2019,10,18,4
2,0.20015664868164712,1.089642864826601e-08,1419,6.806614430096654,0.8401094150871868,7,97,2019,10,17,3
2,0.2854687261961971,5.420801940658748e-08,1230,7.523297149521611,0.9773904927354709,7,97,2019,10,19,5
2,0.6478574457680139,0.26718520723161276,1230,8.020598481410225,0.8223918390268776,7,97,2019,10,23,2
2,0.26152692104980296,4.824582333640137e-08,1230,3.852272056851645,0.8296953809403358,7,97,2019,10,1,1
2,5.854795332081719e-05,2.782358876629587e-08,1520,13.601470508735444,0.8501703982065838,7,97,2019,10,28,0
2,0.34870706289687825,7.641206423159019e-08,1230,11.34460224071342,0.8566904177450541,7,24,2019,10,31,3
2,0.013691691024894488,1.788659176327201e-08,1230,23.67002323615252,0.8985702311425927,7,121,2019,10,16,2
