event_type,product_id,category_id,brand,price,user_id,main_category,sub_category,year,month,day,weekday
2,5.606928084446114e-05,2.782358876629587e-08,83,26.7132925713024,0.8645431523629306,7,97,2019,10,27,6
2,0.06499605737227623,1.9873990453334045e-08,619,5.045790324617146,0.8240889265002451,7,8,2019,10,1,1
2,0.02736353557568519,9.594339900331761e-08,496,13.613596145030892,0.958291137906357,7,97,2019,10,3,3
2,0.4189667265741861,8.189454447915523e-08,559,6.7446274915669,0.8876632253193595,7,97,2019,10,9,2
2,3.9898079722856805e-05,2.782358876629587e-08,83,26.769385499110733,0.9797587137421679,7,97,2019,10,14,0
2,0.37093870369463744,3.2209570122176956e-08,602,5.440588203494177,0.862222255599485,7,97,2019,10,20,6
2,6.677030822514404e-05,2.782358876629587e-08,111,15.116547224812946,0.927359734471783,7,97,2019,10,27,6
2,0.4735716248139116,1.062230516879481e-07,475,11.2307613277106,0.8894768822917591,1,86,2019,10,31,3
2,0.22392007488120835,4.4476617944155805e-08,333,16.123895310997277,0.8665986455641272,7,7,2019,10,15,1
2,0.00523893924031868,5.4687738781922235e-08,1,26.84604253889202,0.8367901859902958,4,74,2019,10,18,4
2,0.027370544235790745,9.594339900331761e-08,366,22.11447489767731,0.9451774534068065,7,97,2019,10,9,2
2,7.089003282377548e-05,2.782358876629587e-08,83,28.275607862608364,0.9649928879933909,7,97,2019,10,7,0
2,0.2085450575475953,4.0570352410895794e-08,249,13.229134514396623,0.8695776848921666,8,15,2019,10,28,0
2,0.005238204185722243,5.4687738781922235e-08,1,17.574413219222997,0.8298847278018551,4,74,2019,10,17,3
2,0.26665772179298075,6.585829126493081e-08,252,14.349216006458333,0.8213194322296116,7,97,2019,10,28,0
2,0.12819514557636624,2.7412383474256785e-10,655,21.64439881354989,0.8652919323775976,7,97,2019,10,11,4
2,7.071908989437353e-05,2.782358876629587e-08,83,28.275607862608364,0.8335360614026219,7,97,2019,10,1,1
2,0.008534838579275537,5.96219607018611e-09,465,16.50878553982697,0.9183149437734177,4,79,2019,10,26,5
2,6.133432307010162e-05,2.782358876629587e-08,654,13.031883977384084,0.8429047416297535,7,97,2019,10,5,5
2,5.5710300692714265e-05,2.782358876629587e-08,83,28.275607862608364,0.8391456322118127,7,97,2019,10,23,2
2,7.053105267202861e-05,2.782358876629587e-08,83,28.275607862608364,0.9673547831366636,7,97,2019,10,3,3
2,0.29742943202365524,1.3774730689419812e-08,755,7.90885579587844,0.9633923314664099,7,97,2019,10,22,1
2,0.07008350698855723,9.11462194608248e-09,544,28.275607862608364,0.8456482639406182,7,24,2019,10,17,3
2,5.591543220799869e-05,2.782358876629587e-08,83,27.31702765675651,0.889242539317586,7,97,2019,10,19,5
2,0.20003661255661973,1.089642864826601e-08,331,5.851495535331118,0.847270807998145,7,97,2019,10,26,5
2,0.005232528880466037,5.4687738781922235e-08,111,26.362283664356543,0.8288946370507257,4,74,2019,10,25,4
2,0.013694733809037875,1.788659176327201e-08,212,24.85457704327313,0.8222333166144733,7,121,2019,10,28,0
2,0.005233041709254246,5.4687738781922235e-08,111,28.275607862608364,0.8358516533542053,4,74,2019,10,8,1
2,0.0786236106100584,8.73084928798562e-08,234,13.847021340346087,0.8292328612121729,7,97,2019,10,26,5
2,0.04615800979762819,1.1239083974601272e-07,766,6.59545297913646,0.8443996243089003,2,42,2019,10,26,5
2,0.02395655752120171,9.409306045427002e-08,448,12.11197754291181,0.9263809151986477,2,58,2019,10,23,2
